"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000450448596357183,5,22,22.5118063754427,"GO:0043371 negative reg. of CD4-positive alpha-beta T cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0043371"," ANXA1  TBX21  SMAD7  FOXP3  RUNX3"
0.000450448596357183,6,39,15.2387612387612,"GO:0043368 positive T cell selection "," http://amigo.geneontology.org/amigo/term/GO:0043368"," ZAP70  SPN  TBX21  ITPKB  TOX  FOXP3"
0.000312519764552726,7,52,13.3339160839161,"GO:0045058 T cell selection "," http://amigo.geneontology.org/amigo/term/GO:0045058"," ZAP70  SPN  TBX21  CCR7  ITPKB  TOX  FOXP3"
3.58685248316641e-05,10,94,10.5374412821221,"GO:0043367 CD4-positive alpha-beta T cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0043367"," ANXA1  SPN  FOXP3  TBX21  SMAD7  SASH3  LEF1  TOX  RUNX3  RORC"
1.51452337849016e-06,13,124,10.384478424801,"GO:0046632 alpha-beta T cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0046632"," ANXA1  EOMES  SPN  FOXP3  TBX21  SMAD7  ZAP70  SASH3  LEF1  ITPKB  TOX  RUNX3  RORC"
0.000312519764552726,8,77,10.2911114859167,"GO:0002287 alpha-beta T cell activation involved in immune response "," http://amigo.geneontology.org/amigo/term/GO:0002287"," ANXA1  EOMES  SPN  TBX21  SMAD7  LEF1  FOXP3  RORC"
0.000330046299369566,8,79,10.0305770179188,"GO:0046637 reg. of alpha-beta T cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0046637"," ANXA1  FOXP3  TBX21  SMAD7  ZAP70  SASH3  ITPKB  RUNX3"
0.000405225522310758,10,141,7.02496085474809,"GO:0035710 CD4-positive alpha-beta T cell activation "," http://amigo.geneontology.org/amigo/term/GO:0035710"," ANXA1  SPN  FOXP3  TBX21  SMAD7  SASH3  LEF1  TOX  RUNX3  RORC"
3.58685248316641e-05,14,207,6.69916556873079,"GO:0046631 alpha-beta T cell activation "," http://amigo.geneontology.org/amigo/term/GO:0046631"," ANXA1  EOMES  SPN  FOXP3  TBX21  SMAD7  CRTAM  ZAP70  SASH3  LEF1  ITPKB  TOX  RUNX3  RORC"
8.83428344261265e-05,13,198,6.50341073068346,"GO:0045580 reg. of T cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0045580"," ANXA1  PHF10  FOXP3  ZAP70  TBX21  SMAD7  CRTAM  SASH3  LEF1  ERBB2  ITPKB  TOX  RUNX3"
