"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.90040332620019e-12,51,1490,3.39036869171097,"BUSSLINGER GASTRIC IMMUNE CELLS","HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/BUSSLINGER_GASTRIC_IMMUNE_CELLS"," LCP1  VIM  RUNX3  ANXA1  CD8B  STOM  PRF1  SASH3  SH3KBP1  APOBEC3G  PLEKHF1  RAPGEF6  ABI3  SPN  ARHGEF1  ZAP70  GYG1  SH2D1A  F2R  CRTAM  APOBEC3C  TIGIT  MATR3  LRRN3  TPM3  IER5  ATP1B3  PIKFYVE  RALGDS  PLCG1  SKI  ZFYVE28  LATS1  PPP2R2B  ANKRD11  TOX  SMAD7  ITPKB  PHF19  EIF3H  AP4B1  MAN1C1  TGFBR3  YWHAB  CUL3  UGP2  STT3B  NUMA1  MAPRE1  ENO1  CAPN2"
1.90040332620019e-12,18,144,12.3814935064935,"TRAVAGLINI LUNG CD8 NAIVE T CELL","HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/TRAVAGLINI_LUNG_CD8_NAIVE_T_CELL"," PRF1  ADGRG1  CX3CR1  TBX21  F2R  RUNX3  EOMES  TGFBR3  ZAP70  TTC38  SPN  CD8B  PLEKHF1  APOBEC3G  TIGIT  CRTAM  SH2D1A  CAPN2"
6.33226833943846e-10,23,369,6.17396966177454,"HAY BONE MARROW NK CELLS","HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/HAY_BONE_MARROW_NK_CELLS"," PRF1  TTC38  ADGRG1  ZAP70  TBX21  APOBEC3G  CEP78  RUNX3  PLEKHF1  TGFBR3  CX3CR1  NDUFB2  LLGL2  OSBPL5  MVD  GTF3C1  EOMES  TOX  ERBB2  PPP2R2B  RGS9  APOBEC3C  SASH3"
8.55239435521322e-09,14,132,10.5055096418733,"TRAVAGLINI LUNG NATURAL KILLER CELL","HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/TRAVAGLINI_LUNG_NATURAL_KILLER_CELL"," PRF1  ADGRG1  RUNX3  TTC38  TBX21  CX3CR1  ABI3  CEP78  F2R  ZAP70  SPN  OSBPL5  TIGIT  APOBEC3G"
7.06834362466105e-07,13,157,8.20175366035239,"AIZARANI LIVER C1 NK NKT CELLS 1","HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/AIZARANI_LIVER_C1_NK_NKT_CELLS_1"," RUNX3  EOMES  PRF1  CD8B  LCP1  APOBEC3C  ADGRG1  SH2D1A  SH3KBP1  APOBEC3G  TIGIT  TBX21  SASH3"
1.9041655511605e-06,30,944,3.14783733215937,"MURARO PANCREAS BETA CELL","HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/MURARO_PANCREAS_BETA_CELL"," TGFBR3  SREBF1  PAPSS2  DNAJB9  TPM3  ENO1  MAN1C1  MAPRE1  KIF21A  GTF3C1  SLC4A10  SYT11  PCMT1  NAP1L2  AFF4  GYG1  NUCKS1  SPEG  ABHD10  PIKFYVE  MATR3  VPS35  EIF3H  SMAD7  TSPYL1  COMMD9  RAB11FIP5  EIF3E  LDOC1  FBXL16"
1.9041655511605e-06,14,206,6.73168578993822,"DESCARTES FETAL KIDNEY LYMPHOID CELLS","HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/DESCARTES_FETAL_KIDNEY_LYMPHOID_CELLS"," RUNX3  SASH3  LRRN3  CCR7  SH2D1A  ZAP70  PRF1  EOMES  APOBEC3G  CRTAM  FOXP3  PLEKHF1  TBX21  TIGIT"
2.77007982850296e-06,30,966,3.07614745502944,"TRAVAGLINI LUNG PROLIFERATING MACROPHAGE CELL","HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/TRAVAGLINI_LUNG_PROLIFERATING_MACROPHAGE_CELL"," VSIG4  ALDH2  PHF19  CD163  RAB34  AQP3  FUCA2  GAS2L1  DDB2  ANXA4  DMAC1  YWHAH  MCM4  NUCKS1  HAT1  UQCRC1  STOM  SARNP  PFKL  COMT  SNX2  TMED10  VIM  PCMT1  IDH2  ATP5MC3  ATP1B3  ENO1  YWHAB  ANXA1"
5.16129643581961e-06,12,162,7.33718133718134,"DESCARTES FETAL ADRENAL LYMPHOID CELLS","HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/DESCARTES_FETAL_ADRENAL_LYMPHOID_CELLS"," RUNX3  PRF1  CCR7  SH2D1A  EOMES  ZAP70  CRTAM  TBX21  TIGIT  NOG  CD8B  ZNF550"
7.82028885761296e-06,28,910,3.04775224775225,"BUSSLINGER DUODENAL IMMUNE CELLS","HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/BUSSLINGER_DUODENAL_IMMUNE_CELLS"," LCP1  VIM  RUNX3  CD8B  ANXA1  SASH3  ABI3  STOM  PRF1  ARHGEF1  ZAP70  SH3KBP1  PLEKHF1  TPM3  GYG1  RAPGEF6  SPN  APOBEC3C  TIGIT  ARHGDIA  APOBEC3G  YWHAB  MATR3  RALGDS  NUCKS1  UGP2  ENSA  TPM4"
