Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes,
0.017464061,2,3,76.79166667,GO:0019543 propionate catabolic process , http://amigo.geneontology.org/amigo/term/GO:0019543, PCK2,
0.017464061,2,3,76.79166667,GO:0046327 glycerol biosynthetic process from pyruvate , http://amigo.geneontology.org/amigo/term/GO:0046327, PCK2,
0.161118329,1,7,76.79166667,GO:0051582 positive regulation of neurotransmitter uptake , http://amigo.geneontology.org/amigo/term/GO:0051582, ITGB1,
0.161118329,1,3,76.79166667,GO:0060743 epithelial cell maturation involved in prostate gland development , http://amigo.geneontology.org/amigo/term/GO:0060743, FEM1B,
0.161118329,1,4,76.79166667,GO:0060912 cardiac cell fate specification , http://amigo.geneontology.org/amigo/term/GO:0060912, ITGB1,
0.161118329,1,3,76.79166667,GO:0070460 thyroid-stimulating hormone secretion , http://amigo.geneontology.org/amigo/term/GO:0070460, SLC16A10,
0.161118329,1,7,76.79166667,GO:0072049 comma-shaped body morphogenesis , http://amigo.geneontology.org/amigo/term/GO:0072049, PDGFRB,
0.161118329,1,3,76.79166667,GO:0072275 metanephric glomerulus morphogenesis , http://amigo.geneontology.org/amigo/term/GO:0072275, PDGFRB,
0.161118329,1,3,76.79166667,GO:0072276 metanephric glomerulus vasculature morphogenesis , http://amigo.geneontology.org/amigo/term/GO:0072276, PDGFRB,
0.161118329,1,3,76.79166667,GO:0072277 metanephric glomerular capillary formation , http://amigo.geneontology.org/amigo/term/GO:0072277, PDGFRB,
0.161118329,1,4,76.79166667,GO:0072278 metanephric comma-shaped body morphogenesis , http://amigo.geneontology.org/amigo/term/GO:0072278, PDGFRB,
0.161118329,1,3,76.79166667,GO:0097026 dendritic cell dendrite assembly , http://amigo.geneontology.org/amigo/term/GO:0097026, CCR7,
0.161118329,1,3,76.79166667,GO:1902870 negative regulation of amacrine cell differentiation , http://amigo.geneontology.org/amigo/term/GO:1902870, GDF11,
0.161118329,1,3,76.79166667,GO:2000547 regulation of dendritic cell dendrite assembly , http://amigo.geneontology.org/amigo/term/GO:2000547, CCR7,
0.161118329,1,4,76.79166667,GO:2000741 positive regulation of mesenchymal stem cell differentiation , http://amigo.geneontology.org/amigo/term/GO:2000741, LTBP3,
0.161118329,1,3,76.79166667,GO:2000742 regulation of anterior head development , http://amigo.geneontology.org/amigo/term/GO:2000742, SSBP3,
0.161118329,1,3,76.79166667,GO:2000744 positive regulation of anterior head development , http://amigo.geneontology.org/amigo/term/GO:2000744, SSBP3,
0.030148335,2,4,51.19444444,GO:0019541 propionate metabolic process , http://amigo.geneontology.org/amigo/term/GO:0019541, PCK2,
0.030148335,2,3,51.19444444,GO:0021943 formation of radial glial scaffolds , http://amigo.geneontology.org/amigo/term/GO:0021943, LEF1  ITGB1,
0.030148335,2,5,51.19444444,GO:0071839 apoptotic process in bone marrow cell , http://amigo.geneontology.org/amigo/term/GO:0071839, BCL2L1  LEF1,
0.039892759,2,4,38.39583333,GO:0002296 T-helper 1 cell lineage commitment , http://amigo.geneontology.org/amigo/term/GO:0002296, SPN  TBX21,
0.039892759,2,6,38.39583333,GO:0006114 glycerol biosynthetic process , http://amigo.geneontology.org/amigo/term/GO:0006114, PCK2,
0.039892759,2,6,38.39583333,GO:0019401 alditol biosynthetic process , http://amigo.geneontology.org/amigo/term/GO:0019401, PCK2,
0.039892759,2,9,38.39583333,GO:0021932 hindbrain radial glia guided cell migration , http://amigo.geneontology.org/amigo/term/GO:0021932, LEF1  ITGB1,
0.039892759,2,7,38.39583333,GO:2000328 regulation of T-helper 17 cell lineage commitment , http://amigo.geneontology.org/amigo/term/GO:2000328, TBX21  IL12RB1,
0.049390047,2,5,30.71666667,GO:0002568 somatic diversification of T cell receptor genes , http://amigo.geneontology.org/amigo/term/GO:0002568, TCF7  LEF1,
0.049390047,2,5,30.71666667,GO:0002681 somatic recombination of T cell receptor gene segments , http://amigo.geneontology.org/amigo/term/GO:0002681, TCF7  LEF1,
0.049390047,2,9,30.71666667,GO:0019227 neuronal action potential propagation , http://amigo.geneontology.org/amigo/term/GO:0019227, NRCAM  CNTNAP1,
