"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
7.6013296673613e-09,45,81,1.83044835414302,"GO:0002399 MHC class II protein complex assembly "," http://amigo.geneontology.org/amigo/term/GO:0002399"," B2M  HLA-DPA1  HLA-DRB1  HLA-DQA1  HLA-DRB5  HLA-DOA  HLA-DPB1  HLA-DQB1  HLA-DMB  HLA-DOB"
7.6013296673613e-09,45,81,1.83044835414302,"GO:0002503 peptide antigen assembly with MHC class II protein complex "," http://amigo.geneontology.org/amigo/term/GO:0002503"," B2M  HLA-DPA1  HLA-DRB1  HLA-DQA1  HLA-DRB5  HLA-DOA  HLA-DPB1  HLA-DQB1  HLA-DMB  HLA-DOB"
8.43071566215341e-05,138,248,1.35807458533192,"GO:0019882 antigen processing and presentation "," http://amigo.geneontology.org/amigo/term/GO:0019882"," HLA-F  ABCB9  CD1D  CD1C  FCER1G  B2M  HLA-DPA1  HLA-DRB1  HLA-DQA1  HLA-DRB5  HLA-DOA  TAP2  HLA-E  HLA-DPB1  HLA-DQB1  HLA-DMB  HLA-DOB  CLEC4A  LILRB2  THBS1  CTSS  HLA-C  HLA-A  HLA-B  HFE  SLC11A1  ATG5  RELB  NOD1  FGL2  WDFY4  FCGR1A  ERAP1  ERAP2  NOD2  TRAF6  PSMB8  TREX1  RAB27A  RAB10  RAB32  IDE  RAB33A  RAB4A  RAB6A  FCGR2B  YTHDF1  CD8A  CTSH  CTSF"
0.000207864537493613,65,120,1.52537362845252,"GO:0002504 antigen processing and presentation of peptide or polysaccharide antigen via MHC class II "," http://amigo.geneontology.org/amigo/term/GO:0002504"," FCER1G  B2M  HLA-DPA1  HLA-DRB1  HLA-DQA1  HLA-DRB5  HLA-DOA  HLA-DPB1  HLA-DQB1  HLA-DMB  HLA-DOB  THBS1  CTSS  TRAF6  FCGR2B  CTSF"
0.000630703246435225,50,95,1.57797271908881,"GO:0019886 antigen processing and presentation of exogenous peptide antigen via MHC class II "," http://amigo.geneontology.org/amigo/term/GO:0019886"," FCER1G  B2M  HLA-DPA1  HLA-DRB1  HLA-DQA1  HLA-DRB5  HLA-DOA  HLA-DPB1  HLA-DQB1  HLA-DMB  HLA-DOB  CTSS  TRAF6  FCGR2B  CTSF"
0.00290997407468765,22,31,1.83044835414302,"GO:0002428 antigen processing and presentation of peptide antigen via MHC class Ib "," http://amigo.geneontology.org/amigo/term/GO:0002428"," HLA-F  HLA-E  B2M  TAP2"
0.00355585276618537,45,89,1.55415426295162,"GO:0002396 MHC protein complex assembly "," http://amigo.geneontology.org/amigo/term/GO:0002396"," B2M  HLA-DPA1  HLA-DRB1  HLA-DQA1  HLA-DRB5  HLA-DOA  HLA-DPB1  HLA-DQB1  HLA-DMB  HLA-DOB"
0.00355585276618537,21,30,1.83044835414302,"GO:0002476 antigen processing and presentation of endogenous peptide antigen via MHC class Ib "," http://amigo.geneontology.org/amigo/term/GO:0002476"," HLA-F  HLA-E  TAP2"
0.00355585276618537,45,89,1.55415426295162,"GO:0002501 peptide antigen assembly with MHC protein complex "," http://amigo.geneontology.org/amigo/term/GO:0002501"," B2M  HLA-DPA1  HLA-DRB1  HLA-DQA1  HLA-DRB5  HLA-DOA  HLA-DPB1  HLA-DQB1  HLA-DMB  HLA-DOB"
0.00621049373673142,67,123,1.42604697357654,"GO:0002478 antigen processing and presentation of exogenous peptide antigen "," http://amigo.geneontology.org/amigo/term/GO:0002478"," FCER1G  B2M  HLA-DPA1  HLA-DRB1  HLA-DQA1  HLA-DRB5  HLA-DOA  HLA-DPB1  HLA-DQB1  HLA-DMB  HLA-DOB  CLEC4A  HLA-F  CTSS  HLA-E  HLA-A  FCGR1A  TRAF6  TAP2  FCGR2B  CTSF"
0.00827385275811482,101,143,1.33003801272263,"GO:0032543 mitochondrial translation "," http://amigo.geneontology.org/amigo/term/GO:0032543"," LARS2  GATB  IARS2  MRPS34  SARS2  MTRF1L  MRPL2  WARS2  MTIF3  TSFM  MRPL44  MRPL47  RARS2  RMND1  GFM2  MRPL16  MRPL58  GFM1  HARS1  MRPL23  GATC  MRPL43  MRPS24  MRPL22  MRPS18A  MRPS31  MRPL4  MRPL27  MRPL51  MRPL18  MRPS30  MRPL3  MRPL37  MRPS15  DARS2  MRPS2  MRPS26  MRPS12  MRPL34  DAP3  MRPS9  MRPL15  YARS2  MRPL24  MRPS5  MRPS28  MRPL49  MRPL39  MRPL17  MRPL55  MRPS18C  MRPL1  MRPL36  MRPL13  CHCHD1  MRPL52  MRPL57  MRPL11  MRPS22  MRPL48  AURKAIP1  GADD45GIP1  MRPL14  MRPS23  MRPS11  MRPL41  MRPS16  MRPL54  MRPL40  MRPL21  MRPS18B  MRPL38  MRPL53  MRPL20  MRPL33  MRPL12  MRPS21  METTL8  MALSU1  NOA1  PTCD1  ALKBH1  AARS2  MTG1  RPUSD3  TRUB2  NSUN3  NGRN  COA3  MTIF2  C1QBP  NDUFA7"
