"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.87044511618222e-07,39,134,2.78985987531967,"Path:hsa00190 Oxidative phosphorylation","http://www.genome.jp/kegg-bin/show_pathway?hsa00190 "," ATP5MG  UQCR11  NDUFA11  COX4I1  COX6B1  COX7C  COX10  COX15  UQCRQ  UQCR10  MT-ATP8  MT-ND5  NDUFA4  NDUFA7  NDUFA8  NDUFA9  NDUFA10  NDUFAB1  NDUFB1  NDUFB5  NDUFV2  ATP5F1D  ATP5F1E  ATP5MC2  ATP5ME  ATP6V1A  ATP6V1C1  ATP6V0B  ATP5PO  CYCS  NDUFB11  PPA1  NDUFA12  SDHD  UQCRC2  UQCRH  ATP6V1E2  ATP6V1F  ATP6V1G1"
8.61785139849371e-08,57,232,2.35510054461667,"Path:hsa04714 Thermogenesis","http://www.genome.jp/kegg-bin/show_pathway?hsa04714 "," ATP5MG  ADCY3  UQCR11  ADCY7  SLC25A29  NDUFA11  COX4I1  COX6B1  COX7C  COX10  COX15  CPT1B  ACSL4  MTOR  NDUFAF3  UQCRQ  COA3  UQCR10  MT-ATP8  MT-ND5  NDUFA4  NDUFA7  NDUFA8  NDUFA9  NDUFA10  NDUFAB1  NDUFB1  NDUFB5  NDUFV2  NDUFAF1  COX16  ATP5F1D  ATP5F1E  ATP5MC2  ATP5ME  ATP5PO  NDUFB11  KDM3A  NDUFA12  MAPK13  ARID1B  RPS6KA2  RPS6KB2  SDHD  MLST8  COA7  SMARCC1  SMARCE1  SOS2  TSC1  TSC2  UQCRC2  UQCRH  ARID1A  COX14  ACTL6A  COX19"
3.48041179451687e-06,51,223,2.19223897757096,"Path:hsa05208 Chemical carcinogenesis-reactive oxygen species","http://www.genome.jp/kegg-bin/show_pathway?hsa05208 "," PPIF  AKR1A1  UQCR11  NDUFA11  COX4I1  COX6B1  COX7C  CYP1B1  EPHX1  UQCRQ  SLC25A4  SLC25A6  GSTM4  UQCR10  MGST2  MT-ATP8  MT-ND5  NDUFA4  NDUFA7  NDUFA8  NDUFA9  NDUFA10  NDUFAB1  NDUFB1  NDUFB5  NDUFV2  NFE2L2  NFKB1  ATP5F1D  ATP5F1E  ATP5MC2  PDPK1  ACP1  PIK3CB  PIK3CD  PIK3R1  PIK3R2  ATP5PO  NDUFB11  NDUFA12  MAPK9  MAPK13  PTK2  SDHD  MAP2K4  SLC26A6  SOS2  UQCRC2  UQCRH  VEGFA  CAT"
1.3337777100087e-06,59,266,2.12614538020796,"Path:hsa05012 Parkinson disease","http://www.genome.jp/kegg-bin/show_pathway?hsa05012 "," PPIF  UQCR11  LRRK2  NDUFA11  COX4I1  COX6B1  COX7C  DDIT3  ATF6  SLC39A6  TXN2  UQCRQ  GNAI3  GNAL  SLC25A4  SLC25A6  UQCR10  ITPR1  ITPR3  MT-ATP8  MT-ND5  ATF4  NDUFA4  NDUFA7  NDUFA8  NDUFA9  NDUFA10  NDUFAB1  NDUFB1  NDUFB5  NDUFV2  NFE2L2  ATP5F1D  ATP5F1E  ATP5MC2  ATP5PO  CYCS  NDUFB11  NDUFA12  MAPK9  PSMA1  PSMA2  PSMA3  PSMB4  PSMB5  PSMC6  PSMD7  SDHD  SLC39A8  KLC2  UBA52  UBA7  UBE2G1  UQCRC2  UQCRH  CALM2  CAMK2G  KLC4  SLC39A13"
4.73072989619066e-05,37,155,2.28819276457154,"Path:hsa04932 Non-alcoholic fatty liver disease","http://www.genome.jp/kegg-bin/show_pathway?hsa04932 "," BCL2L11  NR1H3  UQCR11  NDUFA11  COX4I1  COX6B1  COX7C  DDIT3  UQCRQ  GSK3B  UQCR10  IL1B  ATF4  NDUFA4  NDUFA7  NDUFA8  NDUFA9  NDUFA10  NDUFAB1  NDUFB1  NDUFB5  NDUFV2  NFKB1  PIK3CB  PIK3CD  PIK3R1  PIK3R2  CYCS  NDUFB11  NDUFA12  MAPK9  MAPK13  BID  SDHD  UQCRC2  UQCRH  CASP8"
0.000771452565152758,21,77,2.61427428876109,"Path:hsa03008 Ribosome biogenesis in eukaryotes","http://www.genome.jp/kegg-bin/show_pathway?hsa03008 "," EMG1  NXF1  RPP30  UTP14A  POP1  RPP25L  RRP7A  NOB1  DROSHA  NXT1  GNL2  NVL  UTP18  SBDS  GAR1  RPP25  NAT10  NOP10  PWP2  NOL6  IMP4"
6.57718828504785e-05,44,203,2.07768268597762,"Path:hsa05415 Diabetic cardiomyopathy","http://www.genome.jp/kegg-bin/show_pathway?hsa05415 "," PPIF  UQCR11  NDUFA11  COX4I1  COX6B1  COX7C  CPT1B  MTOR  UQCRQ  SLC25A4  SLC25A6  GSK3B  UQCR10  SMAD2  SMAD3  MT-ATP8  MT-ND5  NDUFA4  NDUFA7  NDUFA8  NDUFA9  NDUFA10  NDUFAB1  NDUFB1  NDUFB5  NDUFV2  NFKB1  NOS3  ATP5F1D  ATP5F1E  ATP5MC2  PIK3CB  PIK3CD  PIK3R1  PIK3R2  ATP5PO  NDUFB11  NDUFA12  MAPK9  MAPK13  SDHD  UQCRC2  UQCRH  CAMK2G"
2.73363139139579e-05,56,273,1.96629177274339,"Path:hsa05020 Prion disease","http://www.genome.jp/kegg-bin/show_pathway?hsa05020 "," PPIF  UQCR11  NDUFA11  COX4I1  COX6B1  COX7C  DDIT3  UQCRQ  SLC25A4  SLC25A6  GSK3B  UQCR10  HSPA8  IL1B  ITPR1  ITPR3  MT-ATP8  MT-ND5  ATF4  NDUFA4  NDUFA7  NDUFA8  NDUFA9  NDUFA10  NDUFAB1  NDUFB1  NDUFB5  NDUFV2  NOTCH1  ATP5F1D  ATP5F1E  ATP5MC2  PIK3CB  PIK3CD  PIK3R1  PIK3R2  ATP5PO  CYCS  NDUFB11  PPP3CB  NDUFA12  MAPK9  MAPK13  PSMA1  PSMA2  PSMA3  PSMB4  PSMB5  PSMC6  PSMD7  SDHD  KLC2  C5  UQCRC2  UQCRH  KLC4"
7.68346593404073e-06,74,384,1.84723895056556,"Path:hsa05010 Alzheimer disease","http://www.genome.jp/kegg-bin/show_pathway?hsa05010 "," PPIF  UQCR11  NDUFA11  COX4I1  COX6B1  COX7C  CSNK1A1  CSNK1E  DDIT3  DVL2  ATF6  BACE1  MTOR  SLC39A6  BACE2  UQCRQ  SLC25A4  SLC25A6  GSK3B  UQCR10  APC  IL1B  ITPR1  ITPR3  MT-ATP8  MT-ND5  ATF4  NDUFA4  NDUFA7  NDUFA8  NDUFA9  NDUFA10  NDUFAB1  NDUFB1  NDUFB5  NDUFV2  NFKB1  ATP5F1D  ATP5F1E  ATP5MC2  PIK3C3  PIK3CB  PIK3CD  PIK3R1  PIK3R2  ATP5PO  CYCS  NDUFB11  PPP3CB  NDUFA12  MAPK9  EIF2AK2  PSMA1  PSMA2  PSMA3  PSMB4  PSMB5  PSMC6  PSMD7  BID  SDHD  SLC39A8  KLC2  ADAM17  UQCRC2  UQCRH  WNT10B  CALM2  APH1B  CASP8  CDK5R1  NAE1  KLC4  SLC39A13"
0.0021975089982617,26,115,2.16719549734978,"Path:hsa01200 Carbon metabolism","http://www.genome.jp/kegg-bin/show_pathway?hsa01200 "," ADH5  GLYCTK  DLAT  DLD  DLST  ECHS1  ESD  FH  HIBCH  PGP  PSAT1  HK2  ACAT2  IDNK  MDH1  MMUT  PC  PCCB  PRPS2  SDHD  HKDC1  ADPGK  ACSS1  CAT  SUCLG2  SUCLG1"
