"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.36383084812345e-05,12,124,9.14996001066382,"GO:0046632 alpha-beta T cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0046632"," ANXA1  EOMES  LY9  SPN  FOXP3  ZAP70  IRF1  LEF1  ITPKB  TOX  RUNX3  RORC"
1.36383084812345e-05,18,319,5.3350864012021,"GO:0030217 T cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0030217"," ANXA1  CD8A  EOMES  PHF10  FOXP3  ZAP70  LY9  SPN  KAT2A  CRTAM  IRF1  CCR7  LEF1  ERBB2  ITPKB  TOX  RUNX3  RORC"
0.000206244776444908,13,207,5.93789675410229,"GO:0046631 alpha-beta T cell activation "," http://amigo.geneontology.org/amigo/term/GO:0046631"," ANXA1  EOMES  LY9  SPN  FOXP3  CRTAM  ZAP70  IRF1  LEF1  ITPKB  TOX  RUNX3  RORC"
0.000206244776444908,19,445,4.03694864889962,"GO:0030098 lymphocyte differentiation "," http://amigo.geneontology.org/amigo/term/GO:0030098"," ANXA1  CD8A  EOMES  PHF10  FOXP3  ZAP70  LY9  SPN  KAT2A  CRTAM  IRF1  CCR7  DNAJB9  LEF1  ERBB2  ITPKB  TOX  RUNX3  RORC"
0.000363872849042004,7,52,12.7278289891926,"GO:0045058 T cell selection "," http://amigo.geneontology.org/amigo/term/GO:0045058"," ZAP70  LY9  SPN  CCR7  ITPKB  TOX  FOXP3"
8.45928318929052e-05,36,1280,2.65920712809917,"GO:0001775 cell activation "," http://amigo.geneontology.org/amigo/term/GO:0001775"," VCL  LY9  ANXA1  CD8A  VSIG4  EOMES  TIGIT  CCR7  PHF10  FOXP3  ZAP70  EMILIN2  LCP1  MSN  CD8B  PRF1  F2R  SPN  PARP3  DGKA  KAT2A  CRTAM  PDGFRB  IRF1  DNAJB9  SYT11  LEF1  ERBB2  ITPKB  CX3CR1  BCL2L1  TOX  ITGB3  SH3KBP1  RUNX3  RORC"
0.000398865646523255,12,198,5.73027798647633,"GO:0045580 reg. of T cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0045580"," ANXA1  PHF10  FOXP3  ZAP70  KAT2A  CRTAM  IRF1  LEF1  ERBB2  ITPKB  TOX  RUNX3"
0.000250747513809815,20,507,3.72976673675974,"GO:1903131 mononuclear cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:1903131"," ANXA1  CD8A  EOMES  PHF10  FOXP3  ZAP70  LY9  SPN  KAT2A  CRTAM  IRF1  CCR7  DNAJB9  LEF1  ERBB2  ITPKB  TOX  RUNX3  RORC  CSF1R"
0.000250747513809815,23,662,3.28495543182442,"GO:0042110 T cell activation "," http://amigo.geneontology.org/amigo/term/GO:0042110"," LY9  ANXA1  CD8A  VSIG4  EOMES  TIGIT  CCR7  PHF10  FOXP3  ZAP70  LCP1  MSN  CD8B  SPN  KAT2A  CRTAM  IRF1  LEF1  ERBB2  ITPKB  TOX  RUNX3  RORC"
0.000250747513809815,28,928,2.85278925619835,"GO:0046649 lymphocyte activation "," http://amigo.geneontology.org/amigo/term/GO:0046649"," LY9  ANXA1  CD8A  VSIG4  EOMES  TIGIT  CCR7  PHF10  FOXP3  ZAP70  LCP1  MSN  CD8B  PRF1  SPN  PARP3  KAT2A  CRTAM  IRF1  DNAJB9  LEF1  ERBB2  ITPKB  BCL2L1  TOX  SH3KBP1  RUNX3  RORC"
