"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
2.22007357880709e-11,55,176,2.99552262253875,"GO:0140053 mitochondrial gene expression "," http://amigo.geneontology.org/amigo/term/GO:0140053"," LARS2  TFB1M  GATB  IARS2  POLRMT  PRORP  MTRF1L  MTIF3  MTRES1  MTO1  MRPL47  RARS2  SUPV3L1  FASTK  MRPL58  GFM1  TRMT61B  TEFM  MRPL12  MRPS31  MRPL27  MRPS15  MRPS2  MRPL34  MRPS9  MRPL15  MRPL24  MRPL49  MRPL39  MRPL17  MRPL55  MRPS18C  MRPL36  MRPL13  CHCHD1  MRPL52  MRPL57  MRPL11  MRPL48  GADD45GIP1  MRPL54  MRPL40  MRPL21  MRPL53  MRPL20  MRPL33  MRPS21  PTCD1  PPARGC1B  TRUB2  NSUN3  NGRN  COA3  MTIF2  NDUFA7"
1.88802928434972e-09,45,143,3.01647033318588,"GO:0032543 mitochondrial translation "," http://amigo.geneontology.org/amigo/term/GO:0032543"," LARS2  GATB  IARS2  MTRF1L  MTIF3  MRPL47  RARS2  MRPL58  GFM1  MRPS31  MRPL27  MRPS15  MRPS2  MRPL34  MRPS9  MRPL15  MRPL24  MRPL49  MRPL39  MRPL17  MRPL55  MRPS18C  MRPL36  MRPL13  CHCHD1  MRPL52  MRPL57  MRPL11  MRPL48  GADD45GIP1  MRPL54  MRPL40  MRPL21  MRPL53  MRPL20  MRPL33  MRPL12  MRPS21  PTCD1  TRUB2  NSUN3  NGRN  COA3  MTIF2  NDUFA7"
7.03221253178628e-07,52,214,2.32922880556284,"GO:0009060 aerobic respiration "," http://amigo.geneontology.org/amigo/term/GO:0009060"," MDH1  FH  ANTKMT  MTFR1L  ATP5F1E  COX7C  NDUFA10  COX4I1  NDUFAF1  SUCLG1  UQCRQ  CYCS  SUCLG2  UQCRH  NDUFV2  UQCR10  SDHD  ATP5PO  NDUFA7  NDUFAB1  NDUFA8  COX6B1  UQCR11  NDUFB5  NDUFA9  UQCRC2  NDUFB11  NDUFA11  NDUFB1  NDUFA12  NDUFA4  MT-ND5  ATP5F1D  TAFAZZIN  CBFA2T3  ATP5MG  ATP5ME  MT-ATP8  COX10  BID  DLD  PPIF  DLST  DNAJC15  CAT  DLAT  SLC25A51  SIRT3  TEFM  COX15  SLC25A14  NNT"
4.57945767969579e-07,58,248,2.24181047880319,"GO:0006364 rRNA processing "," http://amigo.geneontology.org/amigo/term/GO:0006364"," LAS1L  TFB1M  MTREX  EXOSC7  NOP14  PES1  ERI1  RPS16  EXOSC3  GAR1  BYSL  ERI3  EXOSC9  RRP36  EMG1  HELB  METTL16  KRI1  NGDN  UTP3  NAT10  MPHOSPH6  IMP4  METTL5  NOB1  NSA2  NOL6  BMS1  EXOSC10  DDX10  NSUN3  RRS1  NOP10  RRP7A  DDX47  PWP2  RRP9  USP36  KAT2B  NVL  UTP18  PIN4  ERCC2  DROSHA  MRM2  NAF1  RPP30  UTP14A  SLX9  TRMT61B  EXOSC1  CHD7  RPP25  TRMT2B  RPS15  SBDS  WDR74  METTL18"
1.16854901953774e-07,66,288,2.19671658986175,"GO:0016072 rRNA metabolic proc. "," http://amigo.geneontology.org/amigo/term/GO:0016072"," LAS1L  TFB1M  MTREX  EXOSC7  NOP14  PES1  ERI1  RPS16  EXOSC3  GAR1  BYSL  TAF1B  ERI3  EXOSC9  RRP36  EMG1  HELB  METTL16  KRI1  NGDN  UTP3  NAT10  MPHOSPH6  IMP4  METTL5  NOB1  NSA2  NOL6  BMS1  DIS3L  EXOSC10  DDX10  NSUN3  RRS1  NOP10  RRP7A  DDX47  PWP2  RRP9  GTF3C4  USP36  KAT2B  NVL  SLFN12  UTP18  PIN4  ERCC2  DROSHA  MACROH2A1  MRM2  NAF1  RPP30  UTP14A  SLX9  TRMT61B  EXOSC1  CHD7  RPP25  TRMT2B  DDX11  RPS15  SBDS  IPPK  WDR74  METTL18  MTOR"
4.31719897691018e-07,60,260,2.21207824433631,"GO:0045333 cellular respiration "," http://amigo.geneontology.org/amigo/term/GO:0045333"," MDH1  FH  ANTKMT  MTFR1L  ATP5F1E  COX7C  NDUFA10  COX4I1  NDUFAF1  SUCLG1  UQCRQ  CYCS  SUCLG2  UQCRH  NDUFV2  UQCR10  SDHD  ATP5PO  NDUFA7  NDUFAB1  NDUFA8  COX6B1  UQCR11  NDUFB5  NDUFA9  UQCRC2  NDUFB11  NDUFA11  NDUFB1  NDUFA12  NDUFA4  MT-ND5  OAS1  ATP5F1D  TAFAZZIN  CBFA2T3  ATP5MG  ATP5ME  MT-ATP8  COX10  BID  AIFM2  DLD  PPIF  DLST  DNAJC15  CAT  SLC25A25  DLAT  ETFDH  SCO2  SLC25A51  SIRT3  IFNAR1  TEFM  IFNLR1  COX15  SLC25A14  NNT  GPD2"
2.22007357880709e-11,132,649,1.94962828314387,"GO:0006281 DNA repair "," http://amigo.geneontology.org/amigo/term/GO:0006281"," LIG3  FAM168A  POLB  RAD18  TIGAR  XRCC5  PALB2  PDS5B  UIMC1  UBR5  ERCC2  RPA3  RAD51C  RECQL5  RFC5  MCM9  MSH3  ACTR8  WDR48  UBE2B  PMS2  POLM  DEK  XRCC3  HELB  MUTYH  RFC3  APTX  MMS22L  PAXX  TNKS1BP1  NSMCE2  EYA3  PWWP3A  ERCC3  RFC4  EXO5  TEX264  NIPBL  PRIMPOL  RNF169  RFWD3  NSMCE1  MGMT  POLH  RHNO1  UBE2N  MTA1  GTF2H2C  RAD51D  BRCC3  TRRAP  BLM  EME2  ZSWIM7  RTEL1  ARID1B  TAF2  SMARCE1  BCL7C  MRGBP  BCL7B  FANCE  ASCC3  BRD8  KAT2B  ARID1A  YEATS4  RNASEH2B  ACTL6A  TAF6L  FAAP20  ATXN7  MEAF6  TAF10  SF3B5  SMARCC1  EP400  FAAP100  SPRTN  HPF1  TP53BP1  DDX1  LIG1  SETX  TRIM28  HMGA1  FTO  SMARCA5  USP1  ALKBH3  FAM111A  CENPX  VCPIP1  MAGEF1  PARP10  DDX11  RTEL1-TNFRSF6B  BOD1L1  PSME4  ZFYVE26  ATRX  FH  CDC5L  YY1  CINP  ACTR5  BCCIP  FBXW7  UCHL5  POGZ  NONO  RNF111  EMSY  DTX3L  INO80E  USP47  NFRKB  ENDOV  SWI5  CHEK2  PRMT6  HAUS7  CEBPG  IFFO1  TMEM161A  DHX9  BACH1  KDM2A  MEN1  BTG2  CSNK1E"
5.60204261096899e-06,48,204,2.25545232755859,"GO:0071897 DNA biosynthetic proc. "," http://amigo.geneontology.org/amigo/term/GO:0071897"," TELO2  PTGES3  NVL  TERF1  PRIMPOL  POLH  SMG6  GAR1  FBXO4  NOP10  SPRTN  JADE2  HSP90AA1  HSP90AB1  STN1  RFC5  VEGFA  CHTF18  RFC3  HNRNPA1  HMBOX1  MEAF6  RFC4  PARP10  CTC1  LIG3  POLB  LIG1  POLE4  CENPF  POLM  GFER  TEP1  CYP1B1  POLE3  PHB1  XRCC5  MAP3K4  CCT4  MEN1  NAT10  NAF1  CCT8  FAAP20  EXOSC10  TNKS1BP1  USP1  SMG5"
9.67187424734815e-09,99,483,1.96476514869622,"GO:0034470 ncRNA processing "," http://amigo.geneontology.org/amigo/term/GO:0034470"," LAS1L  TFB1M  NSUN2  MTREX  EXOSC7  NOP14  RTRAF  AARS1  PES1  ZC3H7B  PRORP  INTS6  POP1  INTS10  ERI1  RPS16  PTCD1  EXOSC3  GAR1  BYSL  DROSHA  THADA  ERI3  ZC3H7A  EXOSC9  RRP36  EMG1  INTS11  HELB  METTL16  KRI1  NGDN  UTP3  TOE1  MTO1  NAT10  MPHOSPH6  IMP4  METTL5  SSB  NOB1  CTU1  CDKAL1  RPP30  TRPT1  DPH3  TRMT44  NSA2  INTS1  RPP25L  NOL6  BMS1  LCMT2  PUSL1  TRMT61B  EXOSC10  CTU2  ZBTB8OS  DDX10  NSUN3  RPP25  RRS1  NOP10  RRP7A  SPOUT1  QTRT1  DDX47  PWP2  INTS13  DDX1  RRP9  FAM98A  ELP6  USP36  TUT7  KAT2B  AGO2  AGO4  NVL  TUT1  UTP18  TRMT2A  PIN4  ERCC2  MRM2  GRSF1  NAF1  UTP14A  SLX9  EXOSC1  CHD7  TRMT2B  RPS15  SBDS  WDR74  METTL18  KARS1  SMAD3  SMAD2"
2.87312108174216e-07,71,327,2.08129278238778,"GO:0042254 ribosome biogenesis "," http://amigo.geneontology.org/amigo/term/GO:0042254"," LAS1L  TFB1M  RPL26L1  MTREX  EXOSC7  NOP14  PES1  ERI1  RPS16  EXOSC3  GAR1  BYSL  RPS15  ERI3  EXOSC9  RRP36  EMG1  HELB  METTL16  KRI1  NGDN  UTP3  WDR74  NAT10  MPHOSPH6  IMP4  METTL5  NOB1  NVL  NAF1  NOM1  NSA2  NOL6  BMS1  MRPL36  EXOSC10  DDX10  NSUN3  RRS1  NOP10  DDX28  RRP7A  DDX47  PWP2  MRPL20  RRP9  USP36  XRCC5  KAT2B  SBDS  UTP18  PIN4  ERCC2  DROSHA  RPL24  MRM2  DHX30  GNL2  RPP30  UTP14A  SLX9  TRMT61B  EXOSC1  CHD7  RPP25  TRMT2B  DHX29  MRPS2  TSC1  METTL18  NGRN"
