"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
5.50986427709754e-11,17,144,11.1621039944904,"TRAVAGLINI LUNG CD8 NAIVE T CELL","HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/TRAVAGLINI_LUNG_CD8_NAIVE_T_CELL"," PRF1  ADGRG1  CX3CR1  CD8A  F2R  RUNX3  EOMES  TGFBR3  ZAP70  SPN  CD8B  APOBEC3G  TIGIT  CRTAM  IL10RA  SH2D1A  SUN2"
7.23409781119741e-07,12,123,9.22434992944971,"DESCARTES FETAL LIVER LYMPHOID CELLS","HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/DESCARTES_FETAL_LIVER_LYMPHOID_CELLS"," LEF1  ZAP70  SH2D1A  LY9  PRF1  EOMES  SLC4A10  CCR7  CD8A  TIGIT  RORC  FOXP3"
8.24612849887272e-08,16,206,7.34365722538715,"DESCARTES FETAL KIDNEY LYMPHOID CELLS","HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/DESCARTES_FETAL_KIDNEY_LYMPHOID_CELLS"," RUNX3  LRRN3  CCR7  SH2D1A  DGKA  SUN2  LY9  ZAP70  PRF1  EOMES  CD8A  APOBEC3G  CRTAM  FOXP3  TIGIT  ATP1A3"
6.91939217665332e-06,12,155,7.31996800853106,"DESCARTES FETAL LUNG LYMPHOID CELLS","HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/DESCARTES_FETAL_LUNG_LYMPHOID_CELLS"," LEF1  CCR7  ZAP70  CD8A  SH2D1A  DGKA  LY9  PRF1  CRTAM  CD8B  FOXP3  TIGIT"
6.97096306203927e-06,12,157,7.22672000842238,"AIZARANI LIVER C1 NK NKT CELLS 1","HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/AIZARANI_LIVER_C1_NK_NKT_CELLS_1"," RUNX3  EOMES  PRF1  CD8A  CD8B  LCP1  APOBEC3C  ADGRG1  SH2D1A  SH3KBP1  APOBEC3G  TIGIT"
0.000301320759792681,7,71,9.32179024560587,"HAY BONE MARROW CD8 T CELL","HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/HAY_BONE_MARROW_CD8_T_CELL"," CD8A  CD8B  SH2D1A  TIGIT  F2R  CRTAM  KIF21A"
7.86136428904414e-06,12,162,7.00367309458219,"DESCARTES FETAL ADRENAL LYMPHOID CELLS","HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/DESCARTES_FETAL_ADRENAL_LYMPHOID_CELLS"," RUNX3  PRF1  CCR7  CD8A  SH2D1A  EOMES  LY9  ZAP70  CRTAM  TIGIT  CD8B  ZNF550"
7.86136428904414e-06,12,162,7.00367309458219,"DESCARTES FETAL PANCREAS LYMPHOID CELLS","HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/DESCARTES_FETAL_PANCREAS_LYMPHOID_CELLS"," SH2D1A  CCR7  CD8A  ZAP70  LEF1  DGKA  CRTAM  CD8B  PRF1  EOMES  FOXP3  TIGIT"
8.29811893725497e-05,9,110,7.73587528174305,"DESCARTES FETAL HEART LYMPHOID CELLS","HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/DESCARTES_FETAL_HEART_LYMPHOID_CELLS"," CCR7  SH2D1A  ZAP70  PRF1  LY9  CRTAM  CD8B  TIGIT  FOXP3"
7.37720589686853e-08,21,369,5.380870792179,"HAY BONE MARROW NK CELLS","HTTP://WWW.GSEA-MSIGDB.ORG/GSEA/MSIGDB/CARDS/HAY_BONE_MARROW_NK_CELLS"," PRF1  ADGRG1  ZAP70  APOBEC3G  CEP78  SUN2  RUNX3  IRF1  TGFBR3  CX3CR1  NDUFB2  ITGB7  LLGL2  ARPC4  EOMES  TOX  ERBB2  PPP2R2B  APOBEC3C  CTBP2  SBK1"
