Selected_Features	Regression_Coefficient	GeneSymbol	Direction
ENSG00000174807_CD248	-3.6183684551705357	CD248	Negative
ENSG00000186462_NAP1L2	2.7765717061673714	NAP1L2	Positive
ENSG00000170348_TMED10	-2.536710926851635	TMED10	Negative
ENSG00000169918_OTUD7A	-2.1473302494178634	OTUD7A	Negative
ENSG00000155659_VSIG4	1.8048364732881816	VSIG4	Positive
ENSG00000134986_NREP	-1.7452831049480733	NREP	Negative
ENSG00000041880_PARP3	1.4175082785852915	PARP3	Positive
ENSG00000132386_SERPINF1	-1.185307266950584	SERPINF1	Negative
ENSG00000164530_PI16	1.120143567094335	PI16	Positive
ENSG00000109113_RAB34	1.09570679341032	RAB34	Positive
ENSG00000163866_SMIM12	0.9027382176420701	SMIM12	Positive
ENSG00000159733_ZFYVE28	0.8912120352084812	ZFYVE28	Positive
ENSG00000260997_ENSG00000260997	0.7945033578527547	ENSG00000260997	Positive
ENSG00000214279_SCART1	-0.7671603507365159	SCART1	Negative
ENSG00000135046_ANXA1	0.7496332536902657	ANXA1	Positive
ENSG00000198682_PAPSS2	0.7305115509573705	PAPSS2	Positive
ENSG00000062524_LTK	-0.6836904056141795	LTK	Negative
ENSG00000113721_PDGFRB	0.6732266148636924	PDGFRB	Positive
ENSG00000154358_OBSCN	-0.6384614610512513	OBSCN	Negative
ENSG00000256553_TRAV1-2	-0.6115501661432458	TRAV1-2	Negative
ENSG00000108798_ABI3	-0.5507191401428212	ABI3	Negative
ENSG00000182195_LDOC1	0.548062373846532	LDOC1	Positive
ENSG00000283124_LINC01355	0.531187085714321	LINC01355	Positive
ENSG00000134574_DDB2	0.4997247257181429	DDB2	Positive
ENSG00000196975_ANXA4	0.4550723522748079	ANXA4	Positive
ENSG00000065989_PDE4A	0.4269636411015372	PDE4A	Positive
ENSG00000196586_MYO6	0.41888427938566775	MYO6	Positive
ENSG00000181847_TIGIT	0.41846298729980297	TIGIT	Positive
ENSG00000072310_SREBF1	-0.4037250546891898	SREBF1	Negative
ENSG00000178163_ZNF518B	-0.3867724809762167	ZNF518B	Negative
ENSG00000282899_E2F2	0.35945445387637864	E2F2	Positive
ENSG00000068354_TBC1D25	0.3362710812526184	TBC1D25	Positive
ENSG00000173114_LRRN3	-0.3101966971619659	LRRN3	Negative
ENSG00000162783_IER5	-0.2188906077731792	IER5	Negative
ENSG00000185010_F8	0.20883447150424572	F8	Positive
ENSG00000158292_GPR153	0.17346201591993726	GPR153	Positive
ENSG00000167460_TPM4	0.1694470556877902	TPM4	Positive
ENSG00000102984_ZNF821	0.1521417180860237	ZNF821	Positive
ENSG00000169895_SYAP1	0.140292020306988	SYAP1	Positive
ENSG00000160789_LMNA	0.1311349718131658	LMNA	Positive
ENSG00000172985_SH3RF3	-0.0870985772523945	SH3RF3	Negative
ENSG00000146674_IGFBP3	0.0591369111987134	IGFBP3	Positive
ENSG00000128245_YWHAH	-0.056162429743156016	YWHAH	Negative
ENSG00000183691_NOG	-0.05267826510948132	NOG	Negative
ENSG00000109943_CRTAM	-0.04356936055369192	CRTAM	Negative
ENSG00000290720_ZNF542P	-0.024153486178228784	ZNF542P	Negative
ENSG00000151136_ABTB3	-0.011723007779061762	ABTB3	Negative
