threshold	alpha	BIC
0.3	0.5102576213102877	2804.7386565610736
0.31	0.5523272788798802	2753.66801287635
0.32	0.6869064480700741	2807.5821546005795
0.33	0.7965358810749384	2799.7177858606346
0.34	0.45720357543703966	2778.0696276811013
0.35	0.42075479129005644	2777.5775345406696
0.36	0.5263524903870472	2768.5872541674066
0.37	0.45999105212182806	2766.8435450473003
0.38	0.6348965154751882	2792.592416211645
0.39	0.9004763700059895	2792.1390754392596
0.4	0.94780602581699	2776.4557556529667
0.41	0.670202952723183	2772.461280114587
0.42	0.2970251071163836	2805.446059716197
0.43	0.9144195199016634	2845.0496365580366
0.44	0.2957286339466955	2839.919926554701
0.45	0.2659116980344969	2906.904053433348
0.46	0.8683716394955453	2906.809610576012
0.47	0.6899102988577109	2937.4937260887273
0.48	0.0	2935.905005194583
0.49	0.0	2935.905005194583
0.5	0.0	2930.8852858591126
0.51	0.0	2930.8852858591126
0.52	0.0	2929.0327895838354
0.53	0.0	2929.0327895838354
0.54	0.0	2929.0327895838354
0.55	0.0	2929.0327895838354
0.56	0.0	2929.0327895838354
0.57	0.0	2929.0327895838354
0.58	0.0	2929.0327895838354
0.59	0.0	2929.0327895838354
0.6	0.0	2965.2816092169974
0.61	0.0	2965.2816092169974
