SampleID	LaneID	Q30_Rate_After_Filtering	GC_Rate_After_Filtering	Group
KU10K-03715	KU10K-03715_L01	0.964389	0.548815	healthy_train
KU10K-03795	KU10K-03795_L01	0.916834	0.543797	healthy_train
KU10K-03795	KU10K-03795_L02	0.916641	0.542446	healthy_train
KU10K-03795	KU10K-03795_L03	0.903218	0.552478	healthy_train
KU10K-03795	KU10K-03795_L04	0.904119	0.547854	healthy_train
KU10K-03778	KU10K-03778_L01	0.920592	0.537323	healthy_train
KU10K-03778	KU10K-03778_L02	0.922537	0.534771	healthy_train
KU10K-03778	KU10K-03778_L03	0.921865	0.540718	healthy_train
KU10K-03778	KU10K-03778_L04	0.926084	0.537389	healthy_train
KU10K-03662	KU10K-03662_L01	0.972806	0.55002	healthy_train
KU10K-03663	KU10K-03663_L01	0.965785	0.547364	healthy_train
KU10K-03853	KU10K-03853_L01	0.918596	0.537061	healthy_train
KU10K-03853	KU10K-03853_L02	0.920664	0.536165	healthy_train
KU10K-03853	KU10K-03853_L03	0.917762	0.535555	healthy_train
KU10K-03853	KU10K-03853_L04	0.919213	0.537952	healthy_train
KU10K-03664	KU10K-03664_L01	0.97147	0.551769	healthy_train
KU10K-03866	KU10K-03866_L01	0.906828	0.551224	healthy_valid
KU10K-03866	KU10K-03866_L02	0.907417	0.552738	healthy_valid
KU10K-03866	KU10K-03866_L03	0.910248	0.54969	healthy_valid
KU10K-03866	KU10K-03866_L04	0.90601	0.553076	healthy_valid
KU10K-03836	KU10K-03836_L01	0.923973	0.560162	healthy_train
KU10K-03836	KU10K-03836_L02	0.919083	0.559022	healthy_train
KU10K-03836	KU10K-03836_L03	0.920483	0.559107	healthy_train
KU10K-03836	KU10K-03836_L04	0.924785	0.559632	healthy_train
KU10K-03808	KU10K-03808_L01	0.92629	0.52848	healthy_train
KU10K-03808	KU10K-03808_L02	0.927403	0.529118	healthy_train
KU10K-03808	KU10K-03808_L03	0.925139	0.527744	healthy_train
KU10K-03808	KU10K-03808_L04	0.92633	0.531912	healthy_train
KU10K-03835	KU10K-03835_L01	0.926922	0.538129	healthy_train
KU10K-03835	KU10K-03835_L02	0.922698	0.531207	healthy_train
KU10K-03835	KU10K-03835_L03	0.925509	0.533862	healthy_train
KU10K-03835	KU10K-03835_L04	0.926848	0.534275	healthy_train
KU10K-03716	KU10K-03716_L01	0.959058	0.528091	healthy_valid
KU10K-03883	KU10K-03883_L01	0.920102	0.542975	healthy_train
KU10K-03883	KU10K-03883_L02	0.921021	0.543522	healthy_train
KU10K-03883	KU10K-03883_L03	0.921106	0.541537	healthy_train
KU10K-03883	KU10K-03883_L04	0.919186	0.5432	healthy_train
KU10K-03862	KU10K-03862_L01	0.921829	0.554835	healthy_train
KU10K-03862	KU10K-03862_L02	0.92457	0.556427	healthy_train
KU10K-03862	KU10K-03862_L03	0.921504	0.554532	healthy_train
